"id","age","race","sex","mar","ed","prvarrst","curcrim","crime","yrsent","depart","relyr","relmo","expgrp","sexint","paro","higrade","age1st","numarst","numconv","emp1","emp2","emp3","emp4","emp5","emp6","emp7","emp8","emp9","emp10","emp11","emp12","emp13","emp19","frstarrmo","frstarrday","frstarryr","frstcharge","arr2mo","arr2dy","arr2yr","arr3mo","arr3dy","arr3yr","arr4mo","arr4dy","arr4yr","arr5mo","arr5dy","arr5yr","arr6mo","arr6dy","arr6yr","crimper","crimprop","crimoth","numper","numprop","numoth","white","arstdate","reldate","arrstday","arrest","paroled","married","edcomb","fin","male","type","charge","arrstcount","spellnum","length","arrind","begin","end","prevlngth"
7257,20,2,1,1,12,NA,NA,2501,1,1,76,6,3,1,0,8,12,6,6,11,11,11,11,11,11,11,11,11,33,33,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,5996,365,0,0,0,12,1,1,0,0,0,1,365,0,0,365,NA
7258,20.4,2,1,1,12,1,NA,1901,3,1,76,6,2,1,0,12,18,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5996,365,0,0,0,12,1,1,0,0,0,1,365,0,0,365,NA
7261,27.5,2,1,1,11,1,NA,1601,3,1,76,6,4,1,0,11,20,2,1,11,1,1,1,1,1,1,6,1,33,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5996,365,0,0,0,11,0,1,0,0,0,1,365,0,0,365,NA
7268,19.5,1,1,1,9,NA,NA,1601,6,4,76,5,2,1,1,9,17,2,2,11,11,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5965,365,0,1,0,9,1,1,0,0,0,1,365,0,0,365,NA
7272,18.6,1,1,1,8,NA,1602,1601,6,4,76,5,3,1,1,8,16,8,2,11,11,11,11,11,11,11,11,11,11,11,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5965,365,0,1,0,8,1,1,0,0,0,1,365,0,0,365,NA
7281,18.6,2,1,1,9,NA,NA,1901,6,4,76,5,4,1,1,10,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5965,365,0,1,0,9,0,1,0,0,0,1,365,0,0,365,NA
7282,18.9,2,1,1,12,NA,NA,1901,6,4,76,5,3,1,1,12,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5965,365,0,1,0,12,1,1,0,0,0,1,365,0,0,365,NA
7289,18.5,2,1,1,9,NA,NA,1601,6,4,76,5,5,1,1,11,17,1,1,11,11,1,1,1,1,1,1,1,1,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5965,365,0,1,0,9,0,1,0,0,0,1,365,0,0,365,NA
7295,19.1,1,1,1,11,NA,NA,1813,6,4,76,5,1,1,1,11,17,4,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,10,77,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6219,5965,254,1,1,0,11,1,1,1,13,1,1,254,1,0,254,NA
7295,19.1,1,1,1,11,NA,NA,1813,6,4,76,5,1,1,1,11,17,4,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,10,77,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6219,5965,254,1,1,0,11,1,1,1,13,1,2,111,0,254,365,254
